Catalog;HIP;RAhms;DEdms;RAdeg;DEdeg;
H;41086;08 22 57.66;+31 35 07.8;125.74026375;+31.58551036;
H;41087;08 22 58.50;+50 57 14.3;125.74375227;+50.95397440;
H;41088;08 22 58.53;+07 37 49.7;125.74387293;+07.63046939;
H;41089;08 22 58.83;-31 26 27.2;125.74510825;-31.44087630;
H;41090;08 22 59.34;+07 37 51.4;125.74725386;+07.63093292;
H;41091;08 22 59.57;-57 08 02.0;125.74821429;-57.13389506;
H;41093;08 22 59.85;-71 02 09.5;125.74937139;-71.03598313;
H;41092;08 22 59.95;-31 26 18.4;125.74977526;-31.43844706;
H;41094;08 22 59.99;-22 10 31.2;125.74996203;-22.17532299;
H;41095;08 23 02.58;-27 00 54.4;125.76073113;-27.01511168;
H;41096;08 23 03.03;+27 05 38.0;125.76264334;+27.09389610;
H;41097;08 23 03.12;+61 12 20.1;125.76297991;+61.20558610;
H;41098;08 23 03.71;+20 01 05.7;125.76546772;+20.01825165;
H;41099;08 23 03.75;-34 57 29.4;125.76561637;-34.95816170;
H;41100;08 23 04.15;+00 21 52.5;125.76727448;+00.36459485;
H;41101;08 23 04.19;-12 03 28.8;125.76747388;-12.05800244;
H;41102;08 23 07.44;-25 03 38.0;125.78098717;-25.06054549;
H;41103;08 23 08.24;-40 22 51.4;125.78434763;-40.38095786;
H;41104;08 23 12.83;+16 53 38.6;125.80345709;+16.89404335;
H;41105;08 23 15.89;+54 36 00.3;125.81620542;+54.60007014;
H;41106;08 23 16.21;+61 27 37.6;125.81753448;+61.46044484;
H;41107;08 23 16.93;-38 17 09.8;125.82055829;-38.28606380;
H;41108;08 23 17.52;-51 44 29.6;125.82299828;-51.74156151;
H;41109;08 23 18.28;-18 56 59.9;125.82618146;-18.94998147;
H;41110;08 23 18.91;+68 26 17.2;;;
H;41112;08 23 19.07;+15 16 18.7;125.82944938;+15.27186299;
H;41111;08 23 19.10;-36 17 13.3;125.82956992;-36.28702654;
H;41113;08 23 20.02;-44 57 56.4;125.83339854;-44.96567313;
H;41114;08 23 20.39;+68 25 59.0;125.83494969;+68.43304715;
H;41115;08 23 20.49;+19 48 52.4;125.83539447;+19.81455852;
H;41116;08 23 20.83;-32 19 41.3;125.83677538;-32.32815239;
H;41117;08 23 21.87;+18 19 56.2;125.84113148;+18.33228008;
H;41118;08 23 23.47;+86 22 43.2;125.84780501;+86.37867042;
H;41119;08 23 25.34;-70 14 55.2;125.85558972;-70.24867256;
H;41120;08 23 25.83;+18 08 11.3;125.85764021;+18.13646551;
H;41121;08 23 26.45;-42 25 07.5;125.86022538;-42.41874662;
