Catalog;HIP;RAhms;DEdms;RAdeg;DEdeg;
H;1;00 00 00.22;+01 05 20.4;000.00091185;+01.08901332;
H;2;00 00 00.91;-19 29 55.8;000.00379737;-19.49883745;
H;3;00 00 01.20;+38 51 33.4;000.00500795;+38.85928608;
H;4;00 00 02.01;-51 53 36.8;000.00838170;-51.89354612;
H;5;00 00 02.39;-40 35 28.4;000.00996534;-40.59122440;
H;6;00 00 04.35;+03 56 47.4;000.01814144;+03.94648893;
H;7;00 00 05.41;+20 02 11.8;000.02254891;+20.03660216;
H;8;00 00 06.55;+25 53 11.3;000.02729160;+25.88647445;
H;9;00 00 08.48;+36 35 09.4;000.03534189;+36.58593777;
H;10;00 00 08.70;-50 52 01.5;000.03625309;-50.86707360;
H;11;00 00 08.95;+46 56 24.0;000.03729695;+46.94000154;
H;12;00 00 09.82;-35 57 36.8;000.04091756;-35.96022482;
H;13;00 00 10.00;-22 35 40.9;000.04167970;-22.59468060;
H;14;00 00 11.59;-00 21 37.5;000.04827189;-00.36042119;
H;15;00 00 12.07;+50 47 28.2;000.05030890;+50.79117384;
H;17;00 00 12.26;-40 11 32.4;000.05109957;-40.19232842;
H;16;00 00 12.34;-54 54 50.9;000.05140852;-54.91412819;
H;18;00 00 12.75;-04 03 13.5;000.05313923;-04.05373813;
H;19;00 00 12.80;+38 18 14.7;000.05331696;+38.30408636;
H;20;00 00 15.11;+23 31 45.4;000.06295050;+23.52928397;
H;21;00 00 15.90;+08 00 26.0;000.06623569;+08.00723437;
H;22;00 00 16.83;-49 21 08.2;000.07013593;-49.35226686;
H;23;00 00 17.86;+13 18 44.0;000.07442930;+13.31221083;
H;24;00 00 18.25;-23 27 09.9;000.07604979;-23.45274913;
H;25;00 00 19.05;-44 17 25.1;000.07936537;-44.29029741;
H;26;00 00 20.24;-13 23 35.9;000.08434579;-13.39329686;
H;27;00 00 20.51;-41 17 51.1;000.08546976;-41.29753696;
H;28;00 00 20.94;-43 21 42.5;000.08724871;-43.36179962;
H;29;00 00 22.11;-49 06 28.6;000.09213106;-49.10795505;
H;30;00 00 23.07;+42 08 29.4;000.09613563;+42.14149882;
H;31;00 00 23.54;+02 40 31.7;000.09809390;+02.67547768;
H;32;00 00 23.66;+51 56 22.2;000.09858375;+51.93949050;
H;33;00 00 23.80;-10 27 44.8;000.09918083;-10.46245445;
H;34;00 00 23.87;+26 55 05.7;000.09946973;+26.91823821;
H;35;00 00 24.61;-14 29 25.7;000.10256052;-14.49048072;
H;36;00 00 24.79;+12 16 01.5;000.10327550;+12.26709303;
H;37;00 00 25.28;-47 10 46.5;000.10535190;-47.17958382;
H;38;00 00 26.65;-79 03 42.6;000.11104694;-79.06183133;
H;39;00 00 26.85;-16 41 48.9;000.11186148;-16.69693020;
H;41;00 00 27.98;+54 18 08.1;000.11656351;+54.30223774;
H;40;00 00 29.27;+67 13 00.4;000.12196971;+67.21679125;
H;42;00 00 30.09;+25 50 41.2;000.12538666;+25.84478059;
H;43;00 00 30.98;+59 33 35.1;000.12908900;+59.55973786;
H;44;00 00 31.85;-03 18 22.9;000.13272230;-03.30636174;
H;45;00 00 32.21;-72 12 09.8;000.13420453;-72.20271031;
H;46;00 00 32.29;-25 37 20.1;000.13454429;-25.62225277;
H;47;00 00 32.45;-56 50 06.9;000.13519236;-56.83524773;
H;48;00 00 32.45;-40 41 25.6;000.13522264;-40.69044664;
H;49;00 00 33.48;+16 40 08.5;000.13950066;+16.66903183;
H;50;00 00 34.29;-53 05 51.6;000.14287059;-53.09766277;
H;51;00 00 34.41;+01 03 58.3;000.14339044;+01.06619726;
H;52;00 00 35.20;-77 01 12.5;000.14665879;-77.02014050;
H;53;00 00 35.37;-29 15 48.2;000.14739023;-29.26338247;
H;54;00 00 36.40;+17 58 08.2;000.15165558;+17.96895579;
H;55;00 00 37.88;-66 40 59.2;000.15783323;-66.68310336;
H;56;00 00 39.08;+00 13 22.6;000.16283175;+00.22293899;
H;57;00 00 40.39;-69 40 32.9;000.16828557;-69.67580068;
H;58;00 00 41.70;+62 10 33.6;000.17376341;+62.17600484;
H;59;00 00 41.87;+55 43 20.9;000.17444749;+55.72246267;
H;60;00 00 42.10;-64 27 57.0;000.17542318;-64.46582516;
H;61;00 00 42.28;+53 49 19.9;000.17615726;+53.82218625;
H;62;00 00 43.19;-45 25 21.8;000.17996123;-45.42272731;
H;63;00 00 43.62;+45 15 12.0;000.18174950;+45.25333305;
H;64;00 00 44.30;-27 54 27.2;000.18458893;-27.90754614;
H;65;00 00 45.11;-54 49 49.2;000.18797532;-54.83034057;
H;66;00 00 45.25;-72 19 05.7;000.18854917;-72.31824913;
H;67;00 00 47.78;+23 32 17.7;000.19910132;+23.53824873;
H;68;00 00 48.15;+16 59 20.3;000.20063628;+16.98896499;
H;69;00 00 48.33;+30 23 45.2;000.20137175;+30.39589283;
H;70;00 00 48.67;+36 46 39.5;000.20280014;+36.77763945;
H;71;00 00 49.70;+36 46 48.6;000.20709981;+36.78015328;
H;72;00 00 52.67;-12 49 43.2;000.21946989;-12.82867015;
H;73;00 00 52.91;+66 50 52.7;000.22045719;+66.84796687;
H;74;00 00 53.25;+35 45 09.8;000.22187281;+35.75272213;
H;75;00 00 53.56;-50 26 47.3;000.22316216;-50.44646500;
H;76;00 00 54.77;+32 49 32.4;000.22821959;+32.82567452;
H;77;00 00 55.33;-30 03 51.0;000.23052169;-30.06417333;
H;78;00 00 55.76;+17 52 04.2;000.23231307;+17.86784193;
H;79;00 00 56.57;+35 19 00.3;000.23572286;+35.31675386;
H;80;00 00 58.03;-11 49 24.7;000.24179216;-11.82353722;
H;81;00 00 58.53;-04 55 55.6;000.24386443;-04.93211471;
H;82;00 00 59.53;-10 56 08.9;000.24803173;-10.93580540;
H;83;00 00 59.54;+52 04 50.0;000.24808100;+52.08056444;
H;84;00 01 00.43;+27 53 10.8;000.25180722;+27.88634368;
H;85;00 01 01.44;-24 42 50.6;000.25600730;-24.71404902;
H;86;00 01 02.49;+69 36 12.6;000.26038262;+69.60349830;
H;87;00 01 02.76;-05 50 05.9;000.26151556;-05.83497569;
H;88;00 01 04.60;-48 48 35.5;000.26915958;-48.80985919;
H;89;00 01 06.52;+53 10 01.0;000.27715178;+53.16694253;
H;90;00 01 07.20;-41 53 14.7;000.27999988;-41.88742972;
H;91;00 01 07.34;-05 52 27.6;000.28056847;-05.87433293;
H;92;00 01 09.75;-20 42 20.1;000.29062512;-20.70558648;
H;93;00 01 10.13;-00 04 33.3;000.29222255;-00.07592034;
H;94;00 01 10.76;-32 45 24.5;000.29485302;-32.75680569;
H;95;00 01 12.49;-11 57 50.4;000.30203883;-11.96400015;
H;96;00 01 13.17;+13 58 29.1;000.30489357;+13.97474826;
H;98;00 01 13.72;-52 47 54.9;000.30717811;-52.79857954;
H;97;00 01 13.76;-21 24 14.6;000.30733362;-21.40404527;
H;99;00 01 15.84;+60 21 19.1;000.31601620;+60.35529798;
H;100;00 01 15.95;+19 44 28.7;000.31645128;+19.74131648;
H;101;00 01 16.74;-47 47 37.8;000.31976150;-47.79382994;
H;102;00 01 16.90;-41 29 14.5;000.32043200;-41.48735570;
H;103;00 01 17.31;-68 22 15.7;000.32214393;-68.37102958;
H;104;00 01 18.42;-31 53 58.6;000.32673657;-31.89961642;
H;105;00 01 18.68;+70 55 44.2;000.32784438;+70.92895780;
H;106;00 01 19.24;+49 58 53.7;000.33016464;+49.98158501;
H;107;00 01 20.11;-50 20 14.6;000.33380226;-50.33739907;
H;108;00 01 20.77;-70 07 31.1;000.33655323;-70.12530771;
H;109;00 01 23.18;+06 47 29.4;000.34660201;+06.79149102;
H;110;00 01 23.69;+39 36 38.9;000.34870816;+39.61081788;
H;111;00 01 23.78;+34 16 54.7;000.34908697;+34.28185977;
H;112;00 01 25.66;-16 56 52.2;000.35691658;-16.94782618;
H;113;00 01 27.75;+49 00 37.5;000.36562073;+49.01041081;
H;114;00 01 29.20;+30 44 09.2;000.37167609;+30.73587929;
H;115;00 01 29.42;-62 55 23.4;000.37259669;-62.92315760;
H;116;00 01 30.09;-33 47 33.7;000.37539303;-33.79270439;
H;117;00 01 31.30;-72 36 21.3;000.38040810;-72.60590348;
H;118;00 01 32.76;-09 25 48.1;000.38648579;-09.43003605;
H;119;00 01 33.65;+44 40 31.6;000.39020229;+44.67544581;
H;120;00 01 35.04;-45 20 40.9;000.39598898;-45.34468907;
H;121;00 01 35.15;+28 25 25.6;000.39647681;+28.42377416;
H;122;00 01 35.85;-77 03 55.1;000.39937928;-77.06529438;
H;123;00 01 36.06;+72 14 11.8;000.40024110;+72.23660619;
H;124;00 01 37.02;+61 13 22.1;000.40424537;+61.22280406;
H;125;00 01 37.14;-39 20 12.0;000.40473165;-39.33667992;
H;126;00 01 38.10;+14 37 56.3;000.40873313;+14.63230674;
H;127;00 01 38.90;-48 56 06.6;000.41208753;-48.93516169;
H;128;00 01 39.30;+73 36 42.8;000.41376473;+73.61187664;
H;129;00 01 39.74;+05 22 21.9;000.41560234;+05.37275092;
H;130;00 01 40.38;-30 41 33.0;000.41825279;-30.69250699;
H;131;00 01 40.79;+62 01 05.3;000.41994220;+62.01815066;
H;132;00 01 41.28;-34 39 12.6;000.42200516;-34.65350786;
H;133;00 01 41.61;-40 08 55.2;000.42336890;-40.14866597;
H;134;00 01 42.03;-01 08 23.9;000.42514055;-01.13997217;
H;135;00 01 42.42;-00 13 03.0;000.42674592;-00.21749947;
H;136;00 01 42.87;+24 15 11.5;000.42864226;+24.25318080;
H;137;00 01 43.85;+42 22 01.7;000.43268925;+42.36714821;
H;138;00 01 44.93;-16 31 54.2;000.43720393;-16.53172119;
H;139;00 01 46.87;+67 30 25.1;000.44529240;+67.50697620;
H;140;00 01 48.64;-68 06 17.3;000.45267471;-68.10481108;
H;141;00 01 48.82;+36 21 01.2;000.45342986;+36.35034560;
H;142;00 01 48.90;+66 18 21.6;000.45374866;+66.30600204;
H;144;00 01 49.22;+76 10 32.2;000.45508990;+76.17561121;
H;143;00 01 49.24;+21 27 43.7;000.45518210;+21.46213750;
H;145;00 01 49.44;-03 01 38.9;000.45598912;-03.02747891;
H;146;00 01 49.49;-25 47 51.7;000.45619148;-25.79769516;
H;147;00 01 51.85;+21 01 34.5;000.46604367;+21.02624872;
H;149;00 01 54.88;+26 00 20.1;000.47868501;+26.00557721;
H;148;00 01 54.91;+15 31 42.7;000.47879268;+15.52852839;
H;150;00 01 55.29;-37 13 47.4;000.48036559;-37.22984397;
H;152;00 01 56.27;-28 07 51.4;000.48445318;-28.13095543;
H;153;00 01 56.29;+12 39 17.8;000.48454484;+12.65495324;
H;151;00 01 56.30;-41 36 49.5;000.48458240;-41.61373674;
H;154;00 01 57.59;-06 00 50.3;000.48996506;-06.01397169;
H;155;00 01 57.87;+46 16 09.0;000.49113894;+46.26916275;
H;156;00 01 59.25;+63 21 28.2;000.49688500;+63.35784580;
H;157;00 02 00.08;-05 12 50.4;000.50032768;-05.21399723;
H;158;00 02 00.11;-37 54 06.4;000.50047134;-37.90179046;
H;159;00 02 02.59;-02 45 58.2;000.51081115;-02.76616306;
H;160;00 02 02.81;-69 16 09.1;000.51171520;-69.26920741;
H;161;00 02 03.00;+33 41 45.6;000.51248009;+33.69599071;
H;162;00 02 03.21;+27 07 07.0;000.51336753;+27.11861943;
H;163;00 02 04.11;-30 41 06.8;000.51714313;-30.68523468;
H;164;00 02 04.46;+59 56 24.0;000.51857812;+59.94001211;
H;165;00 02 04.74;-22 19 38.9;000.51974463;-22.32747055;
H;166;00 02 05.17;-56 30 53.6;000.52152674;-56.51490157;
H;167;00 02 06.67;+39 10 59.6;000.52780714;+39.18321360;
H;168;00 02 08.05;-02 49 11.4;000.53352192;-02.81984528;
H;169;00 02 08.41;-68 16 48.7;000.53502093;-68.28020594;
H;170;00 02 09.04;-20 52 17.9;000.53767720;-20.87164212;
H;171;00 02 09.65;+27 05 04.2;000.54018776;+27.08448905;
H;172;00 02 10.29;+67 24 32.2;000.54288062;+67.40895644;
H;173;00 02 11.90;+47 34 38.0;000.54959887;+47.57722222;
H;174;00 02 12.38;+59 57 55.2;000.55156687;+59.96533825;
H;175;00 02 12.58;+49 46 16.1;000.55243583;+49.77113897;
H;176;00 02 12.80;+44 25 41.8;000.55333411;+44.42827722;
H;177;00 02 14.45;-11 57 51.6;000.56020401;-11.96434717;
H;178;00 02 16.27;-27 08 06.6;000.56779620;-27.13517299;
H;179;00 02 16.53;-13 24 27.1;000.56886229;-13.40751554;
H;180;00 02 17.02;-09 10 29.6;000.57090231;-09.17489501;
H;181;00 02 17.72;+60 42 11.5;000.57381667;+60.70319460;
H;182;00 02 19.48;+52 35 11.2;000.58116809;+52.58643746;
H;183;00 02 19.91;-29 43 13.6;000.58297574;-29.72044805;
H;184;00 02 21.55;+11 00 22.8;000.58977565;+11.00634091;
H;185;00 02 21.64;+10 47 08.3;000.59015020;+10.78564387;
H;186;00 02 24.17;+08 57 24.6;000.60069792;+08.95683360;
H;187;00 02 24.51;-06 03 33.1;000.60211418;-06.05918213;
H;188;00 02 24.60;+06 19 59.3;000.60250452;+06.33313676;
H;189;00 02 25.27;+54 08 06.6;000.60528721;+54.13515756;
H;190;00 02 25.33;+10 46 35.9;000.60555642;+10.77665206;
H;191;00 02 26.95;-46 01 43.8;000.61228711;-46.02884131;
H;192;00 02 28.76;+08 23 38.1;000.61983117;+08.39393024;
H;193;00 02 29.19;-39 12 45.0;000.62164007;-39.21249918;
H;194;00 02 29.76;+08 29 08.1;000.62398938;+08.48557854;
H;195;00 02 30.18;+47 25 22.7;000.62573691;+47.42295978;
H;196;00 02 30.48;+51 49 47.9;000.62700447;+51.82997958;
H;197;00 02 31.76;+42 08 52.1;000.63232895;+42.14779896;
H;198;00 02 31.85;+15 20 06.7;000.63269567;+15.33519012;
H;199;00 02 32.41;+16 15 23.6;000.63503230;+16.25655097;
H;200;00 02 32.51;-33 59 33.6;000.63546326;-33.99267216;
H;201;00 02 33.44;+18 41 00.1;000.63931400;+18.68336438;
H;202;00 02 34.02;+54 33 07.8;000.64173419;+54.55216087;
H;203;00 02 34.14;-15 49 52.6;000.64222918;-15.83126945;
H;204;00 02 34.82;-43 56 52.5;000.64508403;-43.94791349;
H;205;00 02 34.97;-05 11 11.9;000.64571113;-05.18664439;
H;206;00 02 35.24;+18 50 09.6;000.64683993;+18.83599601;
H;208;00 02 35.98;-67 38 03.4;000.64992943;-67.63428107;
H;207;00 02 36.08;+66 05 56.3;000.65034249;+66.09896341;
H;209;00 02 38.44;+66 06 01.4;000.66015960;+66.10037725;
H;210;00 02 38.92;-08 29 16.6;000.66214867;-08.48794379;
H;211;00 02 39.16;-37 56 51.7;000.66317884;-37.94768074;
H;212;00 02 39.23;-29 04 30.9;000.66344190;-29.07525103;
H;213;00 02 40.05;+51 28 20.7;000.66686344;+51.47241278;
H;214;00 02 40.60;+28 32 32.0;000.66917246;+28.54222144;
H;217;00 02 41.86;+82 58 23.6;000.67441616;+82.97320953;
H;215;00 02 41.88;+75 02 10.3;000.67449039;+75.03619342;
H;216;00 02 42.46;+42 55 14.5;000.67692229;+42.92069156;
H;218;00 02 43.14;-57 38 01.1;000.67974974;-57.63363086;
H;219;00 02 45.66;+06 02 04.0;000.69022925;+06.03445242;
H;220;00 02 46.02;+35 48 55.7;000.69173956;+35.81547283;
H;221;00 02 46.37;+80 16 56.1;000.69321513;+80.28224146;
H;222;00 02 46.68;-40 58 59.4;000.69448089;-40.98317970;
H;224;00 02 47.10;+03 51 37.5;000.69625192;+03.86040514;
H;223;00 02 47.14;+02 07 49.4;000.69641117;+02.13037640;
H;225;00 02 48.02;-15 02 25.9;000.70006380;-15.04053128;
H;226;00 02 48.07;-24 56 42.9;000.70031218;-24.94525463;
H;227;00 02 49.00;+80 17 11.4;000.70416774;+80.28651236;
H;228;00 02 50.44;+28 15 06.8;000.71015217;+28.25189113;
H;229;00 02 51.34;+47 15 08.2;000.71393463;+47.25228068;
H;230;00 02 51.77;+30 20 11.5;000.71569526;+30.33651580;
H;231;00 02 53.62;-58 46 53.0;000.72341351;-58.78139077;
H;232;00 02 55.21;-30 08 59.2;000.73006132;-30.14977973;
H;233;00 02 55.67;+71 21 30.8;000.73197615;+71.35854324;
H;234;00 02 56.06;+70 14 16.8;000.73358145;+70.23800778;
H;235;00 02 56.75;+71 22 05.0;000.73646864;+71.36804423;
H;236;00 02 57.08;-00 53 37.8;000.73781657;-00.89382979;
H;237;00 02 57.39;-39 31 38.4;000.73911220;-39.52732256;
H;238;00 02 57.43;-20 02 45.9;000.73927410;-20.04607402;
H;239;00 02 58.36;+03 22 55.0;000.74317400;+03.38193739;
H;240;00 02 58.50;+09 47 42.8;000.74376859;+09.79522025;
H;241;00 03 00.47;+09 08 17.9;000.75196696;+09.13829706;
H;242;00 03 00.52;-34 44 38.6;000.75216595;-34.74405055;
H;243;00 03 00.81;-60 41 30.8;000.75337695;-60.69189462;
H;244;00 03 02.13;+39 59 42.5;000.75886478;+39.99515242;
H;245;00 03 03.26;-07 48 55.9;000.76358207;-07.81552594;
H;246;00 03 03.28;+56 43 59.5;000.76368704;+56.73318400;
H;247;00 03 03.73;+08 15 41.1;000.76552823;+08.26141340;
H;248;00 03 03.78;+08 16 14.9;000.76575139;+08.27080462;
H;249;00 03 05.81;+31 52 12.4;000.77419621;+31.87010321;
H;250;00 03 05.84;+52 27 54.6;000.77431725;+52.46516859;
H;251;00 03 06.10;-25 15 39.8;000.77540550;-25.26104885;
H;252;00 03 07.10;+29 29 09.5;000.77959051;+29.48598254;
H;253;00 03 07.82;-24 08 42.5;000.78257245;-24.14513788;
H;254;00 03 08.32;+42 44 52.5;000.78466955;+42.74791705;
H;255;00 03 10.69;-24 35 17.8;000.79452371;-24.58828778;
H;256;00 03 11.18;+54 30 57.0;000.79659523;+54.51584355;
H;257;00 03 12.72;-31 12 44.6;000.80301496;-31.21239379;
H;258;00 03 13.28;+17 33 08.6;000.80532807;+17.55239698;
H;259;00 03 13.42;+48 43 20.4;000.80590410;+48.72233890;
H;260;00 03 16.10;-55 24 18.3;000.81709566;-55.40508846;
H;261;00 03 16.92;-23 36 55.2;000.82050122;-23.61534569;
H;262;00 03 18.19;+32 50 45.1;000.82579542;+32.84586959;
H;263;00 03 19.02;+04 41 13.7;000.82923787;+04.68713578;
H;264;00 03 19.70;+38 14 38.5;000.83207925;+38.24401553;
H;266;00 03 20.49;-11 56 42.8;000.83535989;-11.94520986;
H;265;00 03 20.49;-64 28 33.9;000.83539281;-64.47608070;
H;267;00 03 20.50;-04 08 44.6;000.83541112;-04.14573041;
H;268;00 03 22.03;+59 04 43.0;000.84180567;+59.07861165;
H;269;00 03 22.09;+23 34 30.2;000.84205196;+23.57504990;
H;270;00 03 24.01;+73 10 28.2;000.85005688;+73.17449052;
H;271;00 03 24.67;-35 57 54.6;000.85277163;-35.96517367;
H;272;00 03 25.32;-26 24 54.7;000.85551618;-26.41518293;
H;273;00 03 25.65;-46 49 51.5;000.85687021;-46.83096933;
H;274;00 03 25.72;+63 38 25.9;000.85715406;+63.64052431;
H;275;00 03 25.84;-29 00 02.2;000.85767485;-29.00061360;
H;276;00 03 25.90;+20 39 57.3;000.85791177;+20.66591788;
H;277;00 03 26.23;-36 15 04.3;000.85927886;-36.25120504;
H;278;00 03 27.15;+55 33 03.2;000.86311931;+55.55090206;
H;279;00 03 27.31;+62 21 28.1;000.86377495;+62.35780416;
H;280;00 03 27.90;+53 18 45.7;000.86626632;+53.31270092;
H;281;00 03 30.28;+55 03 35.8;000.87618718;+55.05995058;
H;282;00 03 30.34;+19 22 53.7;000.87642718;+19.38157170;
H;283;00 03 30.52;+12 21 24.6;000.87715545;+12.35682896;
H;284;00 03 30.80;-65 49 39.2;000.87833784;-65.82756660;
H;285;00 03 31.36;-35 36 08.0;000.88067333;-35.60222342;
H;286;00 03 31.51;+78 43 04.1;000.88130145;+78.71780714;
H;287;00 03 32.59;-13 13 38.2;000.88580553;-13.22726530;
H;288;00 03 33.30;+42 21 08.0;000.88875927;+42.35221969;
H;289;00 03 36.57;-51 48 32.7;000.90235854;-51.80908752;
H;290;00 03 36.99;-31 05 38.5;000.90411412;-31.09403248;
H;291;00 03 37.09;-28 25 01.7;000.90454413;-28.41713516;
H;292;00 03 38.09;+70 18 21.7;000.90870678;+70.30603307;
H;293;00 03 39.82;-57 09 52.0;000.91589999;-57.16443914;
H;294;00 03 40.12;+03 54 25.2;000.91715645;+03.90700467;
H;295;00 03 40.48;-41 05 45.1;000.91866516;-41.09585606;
H;296;00 03 41.30;-28 23 45.1;000.92207847;-28.39584776;
H;297;00 03 41.87;+48 26 12.9;000.92444478;+48.43692667;
H;298;00 03 42.47;+13 21 54.7;000.92695552;+13.36518977;
H;299;00 03 44.11;-63 36 02.4;000.93377179;-63.60066163;
H;301;00 03 44.37;-17 20 09.5;000.93488487;-17.33597002;
H;300;00 03 44.38;+42 01 24.6;000.93490863;+42.02349764;
H;302;00 03 51.63;+66 42 43.9;000.96511407;+66.71220273;
H;303;00 03 52.60;+57 22 41.8;000.96915935;+57.37827711;
H;304;00 03 52.75;+22 17 45.9;000.96979503;+22.29607151;
H;305;00 03 53.30;-28 23 37.6;000.97206281;-28.39376930;
H;306;00 03 53.94;-57 49 49.3;000.97473996;-57.83035720;
H;307;00 03 55.13;-42 33 34.2;000.97971157;-42.55949968;
H;308;00 03 56.05;+14 22 44.1;000.98353978;+14.37891704;
H;309;00 03 56.62;-45 17 19.0;000.98590855;-45.28859728;
H;310;00 03 56.98;-43 11 29.4;000.98741047;-43.19150360;
H;311;00 03 57.02;+36 58 12.8;000.98758897;+36.97021204;
H;312;00 03 57.50;+61 06 13.1;000.98959785;+61.10364174;
H;313;00 03 57.86;-48 07 30.7;000.99110213;-48.12518732;
H;314;00 03 58.01;+20 57 13.7;000.99172662;+20.95381941;
H;315;00 03 58.13;-71 16 43.1;000.99220988;-71.27863488;
H;316;00 04 00.24;+12 08 45.0;001.00099668;+12.14583388;
H;317;00 04 00.61;-80 23 42.3;001.00253201;-80.39507010;
H;318;00 04 02.32;-38 35 41.1;001.00967468;-38.59474913;
H;319;00 04 03.80;+62 13 19.0;001.01581829;+62.22195138;
H;320;00 04 05.10;-16 59 51.5;001.02126840;-16.99764075;
H;321;00 04 07.84;-25 53 33.2;001.03267114;-25.89254967;
H;322;00 04 08.44;+56 55 15.6;001.03517441;+56.92100467;
H;324;00 04 10.21;+17 26 12.1;001.04254351;+17.43668381;
H;323;00 04 10.25;+49 52 12.7;001.04272795;+49.87020726;
H;325;00 04 10.47;+39 07 12.5;001.04362757;+39.12012608;
H;326;00 04 10.76;+11 15 51.8;001.04484023;+11.26438632;
H;327;00 04 11.08;-04 55 34.0;001.04616137;-04.92610737;
H;328;00 04 11.89;-30 08 05.7;001.04953066;-30.13491782;
H;329;00 04 12.33;-10 08 28.6;001.05137431;-10.14127928;
H;330;00 04 13.66;+62 17 15.6;001.05693212;+62.28766460;
H;331;00 04 14.28;-26 57 08.5;001.05951147;-26.95235161;
H;332;00 04 14.60;-34 24 52.8;001.06083408;-34.41465369;
H;333;00 04 15.13;-17 25 29.5;001.06304747;-17.42485068;
H;334;00 04 15.33;+60 09 18.1;001.06385875;+60.15501928;
H;335;00 04 15.84;+14 04 53.8;001.06601848;+14.08162325;
H;336;00 04 15.98;+65 09 10.7;001.06656723;+65.15296110;
H;337;00 04 16.14;-25 54 54.0;001.06725539;-25.91498946;
H;338;00 04 16.16;+66 20 56.9;001.06734897;+66.34913841;
H;339;00 04 16.49;-59 18 54.7;001.06871389;-59.31518062;
H;340;00 04 17.72;-43 59 18.0;001.07383315;-43.98832631;
H;341;00 04 18.60;-23 15 14.2;001.07749772;-23.25395215;
H;342;00 04 18.96;-20 34 07.5;001.07898302;-20.56874520;
H;343;00 04 19.76;-16 31 44.0;001.08233885;-16.52888969;
H;344;00 04 20.08;+40 06 35.8;001.08364803;+40.10995515;
H;345;00 04 20.30;-29 16 07.8;001.08457463;-29.26883006;
H;346;00 04 21.07;-53 54 34.1;001.08780834;-53.90948292;
H;347;00 04 21.29;+54 16 28.6;001.08869988;+54.27460172;
H;348;00 04 21.31;+12 57 25.4;001.08880039;+12.95705512;
H;349;00 04 22.89;-29 22 53.7;001.09539438;-29.38157885;
H;350;00 04 23.83;-57 19 22.3;001.09930910;-57.32287483;
H;351;00 04 24.63;-47 04 05.3;001.10262290;-47.06812971;
H;352;00 04 26.42;+58 04 07.6;001.11010195;+58.06878245;
H;353;00 04 26.65;-44 34 02.4;001.11103092;-44.56734318;
H;354;00 04 29.60;+51 49 45.5;001.12334321;+51.82930460;
H;355;00 04 30.12;-10 30 34.2;001.12550980;-10.50949443;
H;356;00 04 30.17;-06 57 55.2;001.12570193;-06.96533727;
H;357;00 04 30.53;-72 53 50.0;001.12719406;-72.89722070;
H;358;00 04 33.45;-76 20 47.5;001.13935928;-76.34653399;
H;359;00 04 34.62;-76 52 24.7;001.14426919;-76.87353696;
H;360;00 04 34.92;+71 58 06.8;001.14551227;+71.96854252;
H;361;00 04 35.47;-71 41 42.0;001.14780002;-71.69499867;
H;362;00 04 36.15;-19 26 16.3;001.15064352;-19.43786312;
H;363;00 04 36.41;+43 33 04.7;001.15170942;+43.55131855;
H;364;00 04 36.49;-15 53 21.1;001.15203505;-15.88920125;
H;366;00 04 36.59;-31 10 08.6;001.15246785;-31.16905083;
H;365;00 04 36.60;+42 05 33.2;001.15248379;+42.09256148;
H;367;00 04 37.35;-81 20 43.1;001.15561443;-81.34531911;
H;368;00 04 37.46;+02 56 14.0;001.15607578;+02.93722463;
H;369;00 04 38.14;+29 43 20.3;001.15890684;+29.72229656;
H;370;00 04 38.26;-51 35 00.1;001.15940288;-51.58336438;
H;371;00 04 38.48;-50 02 09.4;001.16032911;-50.03593839;
H;372;00 04 39.74;-70 24 15.2;001.16559564;-70.40421693;
H;373;00 04 39.84;-08 11 05.7;001.16597990;-08.18490648;
H;374;00 04 40.09;+34 15 54.7;001.16704444;+34.26519797;
H;375;00 04 40.15;+34 16 17.4;001.16729373;+34.27150566;
H;376;00 04 41.18;+06 31 21.3;001.17156400;+06.52258527;
H;377;00 04 41.25;-71 26 12.7;001.17188841;-71.43685835;
H;378;00 04 41.26;+14 57 55.2;001.17191906;+14.96533616;
H;379;00 04 41.84;+67 09 59.0;001.17432297;+67.16638761;
H;380;00 04 42.71;+17 04 11.2;001.17796311;+17.06977988;
H;381;00 04 44.44;+51 32 01.9;001.18518654;+51.53385066;
H;382;00 04 45.16;-32 21 39.7;001.18816317;-32.36102308;
H;383;00 04 45.33;+00 03 23.4;001.18887204;+00.05649086;
H;384;00 04 46.29;+01 32 13.0;001.19286162;+01.53694172;
H;385;00 04 46.84;+38 10 25.8;001.19515384;+38.17382611;
H;386;00 04 48.95;+68 11 19.3;001.20394853;+68.18869710;
H;387;00 04 49.95;+38 47 10.4;001.20814095;+38.78622411;
H;388;00 04 50.46;+06 25 00.1;001.21025761;+06.41668139;
H;389;00 04 50.81;-29 37 59.0;001.21171086;-29.63304603;
H;390;00 04 50.82;+50 14 05.6;001.21175230;+50.23487696;
H;391;00 04 50.87;+43 58 14.8;001.21196013;+43.97079063;
H;392;00 04 51.96;+30 05 09.4;001.21651501;+30.08593131;
H;393;00 04 52.39;+51 58 57.3;001.21827175;+51.98257157;
H;394;00 04 53.21;+34 39 34.4;001.22172791;+34.65955259;
H;395;00 04 53.32;-30 15 23.8;001.22216274;-30.25661295;
H;396;00 04 53.91;-31 59 47.8;001.22460634;-31.99660262;
H;397;00 04 54.07;+52 14 56.2;001.22530082;+52.24894130;
H;398;00 04 54.97;+58 31 55.8;001.22902690;+58.53217392;
H;399;00 04 55.93;+26 38 55.7;001.23302998;+26.64879958;
